	mmol/L	BiGG	human_1
Biotin	0.000287	btn	MAM01401
Calcium Chloride (CaCl2) (anhyd.)	0.1	ca2	MAM01413
Choline chloride	0.9189189	chol	MAM01513
Cupric sulfate (CuSO4.5H2O)	8e-06	so4	MAM02946
D-Calcium pantothenate	0.001048218	pnto_R	MAM02680
D-Glucose (Dextrose)	7.0	glc_D	MAM01965
Ferric Nitrate (Fe(NO3)3.9H2O)	0.000001	fe3	MAM01822
Ferrous Sulfate (FeSO4.7H2O)	0.002877698	fe2	MAM01821
Ferrous Sulfate (FeSO4.7H2O)	0.002877698	so4	MAM02946
Folic Acid	0.002947846	fol	MAM01830
Glycine	0.2	gly	MAM01986
Hypoxanthine Na	0.030534351	hxan	MAM02159
i-Inositol	0.1	inost	MAM02171
L-Alanine	0.20224719	ala_L	MAM01307
L-Arginine hydrochloride	2.0	arg_L	MAM01365
L-Asparagine-H2O	0.2	asp_L	MAM01370
L-Aspartic acid	0.2	asp_L	MAM01370
L-Cystine 2HCl	0.39772728	Lcystin	MAM01629
L-Cysteine hydrochloride-H2O	0.0	cys_L	MAM01628
L-Glutamic Acid	0.19727892	glu_L	MAM01974
L-Glutamine	2.0	gln_L	MAM01975
L-Histidine hydrochloride-H2O	0.21809523	his_L	MAM02125
L-hydroxyproline	0.0001		MAM03037
L-Isoleucine	0.060152672	ile_L	MAM02184
L-Leucine	0.2	leu_L	MAM02360
L-Lysine hydrochloride	0.3989071	lys_L	MAM02426
L-Methionine	0.06013423	met_L	MAM02471
L-Phenylalanine	0.060121212	phe_L	MAM02724
L-Proline	0.6	pro_L	MAM02770
L-Serine	0.2	ser_L	MAM02896
L-Threonine	0.19327731	thr_L	MAM02993
L-Tryptophan	0.020098038	trp_L	MAM03089
L-Tyrosine disodium salt dihydrate	0.051526718	tyr_L	MAM03101
L-Valine	0.1965812	val_L	MAM03135
Linoleic Acid(18:2)	0.001019417	lnlc	MAM02387
Lipoic Acid	0.00001	lipoate	MAM02394
Magnesium Chloride (anhyd.)	0.5231579	cl	MAM01442
Magnesium Sulfate (MgSO4) (anhyd.)	1.6	so4	MAM02946
Niacinamide	0.000303	ncam	MAM02583
Potassium Chloride (KCl)	3.8	k	MAM02200
Putrescine 2HCl	0.001987578	ptrc	MAM02812
Pyridoxine hydrochloride	0.000291	pydxn	MAM02817
Riboflavin	0.000106	ribflv	MAM02842
Sodium Bicarbonate (NaHCO3)	29.761906	hco3	MAM02046
Sodium Chloride (NaCl)	129.82759	na1	MAM02519
Sodium Phosphate dibasic (Na2HPO4) (anhyd.)	0.8133803	pi	MAM02751
Sodium Phosphate monobasic (NaH2PO4.H2O)	0.42446044	pi	MAM02751
Sodium Pyruvate	2.0	pyr	MAM02819
Thiamine hydrochloride	0.00089	thm	MAM02982
Thymidine	0.002892562	thymd	MAM02996
Vitamin B	0.00103321	-	MAM01361
Zinc sulfate (ZnSO4.7H2O)	0.0005	zn2	MAM03157
PE-LD	0.001		MAM02685
TAG-VLDL	0.001	?	MAM02959
alpha-tocotrienol	0.1	?	MAM01330
gamma-tocopherol	0.1	?	MAM01935
gamma-tocotrienol	0.1	?	MAM01938
O2	10.0	?	MAM02630
retinol	0.1	?	MAM02834
ascorbate	0.1	?	MAM01368
arachidonate(20:4)	0.001	?	MAM01362
Palmitic acid(16:0)	0.002	?	MAM02674
Palmitoleic acid(16:1)	0.0006839	?	MAM02675
Stearic acid(18:0)	0.003	?	MAM02938
Myristic acid(14:0)	0.002	?	MAM02494
Oleic acid(18:1)	0.003	?	MAM02646
DHA(22:6)	0.0001	?	MAM01689
lignocerate(24:0)	0.0001	?	MAM02385
nervonic acid(24:1)	0.0001	?	MAM02564
