	mmol/L	BiGG
L-Alanine	1.0	ala__L
L-Arginine	1.0	arg__L
L-Asparagine	1.0	asn__L
L-Aspartate	1.0	asp__L
L-Cysteine	1.0	cys__L
L-Glutamine	1.0	gln__L
L-Glutamate	1.0	glu__L
Glycine	1.0	gly
L-Histidine	1.0	his__L
L-Isoleucine	1.0	ile__L
L-Leucine	1.0	leu__L
L-Lysine	1.0	lys__L
L-Methionine	1.0	met__L
L-Phenylalanine	1.0	phe__L
L-Proline	1.0	pro__L
L-Serine	1.0	ser__L
L-Threonine	1.0	thr__L
L-Tryptophan	1.0	trp__L
L-Tyrosine	1.0	tyr__L
L-Valine	1.0	val__L
D-Glucose	2.78	glc__D
Pyruvate	2.73	pyr
Phosphate	1.72	pi
Potassium	3.44	k
Magnesium	0.2	mg2
Sulfate	0.2	so4
Thiamine	0.005	thm
Water	inf	h2o
Oxygen	0.25	o2
