	mmol/L	BiGG
L-Alanine	8.0	ala__L
L-Arginine	8.0	arg__L
L-Asparagine	8.0	asn__L
L-Aspartate	8.0	asp__L
L-Cysteine	8.0	cys__L
L-Glutamine	8.0	gln__L
L-Glutamate	8.0	glu__L
Glycine	8.0	gly
L-Histidine	8.0	his__L
L-Isoleucine	8.0	ile__L
L-Leucine	8.0	leu__L
L-Lysine	8.0	lys__L
L-Methionine	8.0	met__L
L-Phenylalanine	8.0	phe__L
L-Proline	8.0	pro__L
L-Serine	8.0	ser__L
L-Threonine	8.0	thr__L
L-Tryptophan	8.0	trp__L
L-Tyrosine	8.0	tyr__L
L-Valine	8.0	val__L
D-Glucose	20.0	glc__D
Sodium	8.56	na1
Potassium	2.5	k
Chloride	31.1	cl
Magnesium	20.0	mg2
Sulfate	10.0	so4
Water	inf	h2o
Oxygen	0.25	o2
