	mmol/L	BiGG
L-Alanine	10.0	ala__L
L-Arginine	10.0	arg__L
L-Asparagine	10.0	asn__L
L-Aspartate	10.0	asp__L
L-Cysteine	10.0	cys__L
L-Glutamine	10.0	gln__L
L-Glutamate	10.0	glu__L
Glycine	10.0	gly
L-Histidine	10.0	his__L
L-Isoleucine	10.0	ile__L
L-Leucine	10.0	leu__L
L-Lysine	10.0	lys__L
L-Methionine	10.0	met__L
L-Phenylalanine	10.0	phe__L
L-Proline	10.0	pro__L
L-Serine	10.0	ser__L
L-Threonine	10.0	thr__L
L-Tryptophan	10.0	trp__L
L-Tyrosine	10.0	tyr__L
L-Valine	10.0	val__L
Glycerol	43.4	glyc
Phosphate	88.9	pi
Potassium	160.8	k
Thiamine	0.05	thm
Water	inf	h2o
Oxygen	0.25	o2
